Codigo,DesEtapaCentro,Denominacion,Direccion,Localidad,CodigoPostal,Municipio,Isla,Provincia,Telefono,Fax,CorreoElectronico,PaginaWeb,Naturaleza,TipoCentro,Concierto,Longitud,Latitud,CentroDestino,CentroCepaAlQuePertenece,EOEP,CentroCER,ZonaInspeccionCodigo
35610112,UAPA,UAPA PUERTO DEL ROSARIO (IES),"C/ GRAN CANARIA, 45",,35600,PUERTO DEL ROSARIO,FUERTEVENTURA,Las Palmas,928-861024 y 928-851956,928-851956,35008007@gobiernodecanarias.org,http://www.cepafuerteventuranorte.es,Público,Docente,Público,-13.86649838,28.50269037,,35008007 - CEPA FUERTEVENTURA NORTE,,,
35610118,UAPA,UAPA CEIP POETA DOMINGO VELÁZQUEZ,"EL BERNEGAL, 48",,35600,PUERTO DEL ROSARIO,FUERTEVENTURA,Las Palmas,928-861024 y 928-851956,928-851956,35008007@gobiernodecanarias.org,http://www.cepafuerteventuranorte.es,Público,Docente,Público,,,,35008007 - CEPA FUERTEVENTURA NORTE,,,
35610121,UAPA,UAPA MATORRAL (CENTRO CULTURAL),"C/ EL GRANZÓN, S/N",,35610,PUERTO DEL ROSARIO,FUERTEVENTURA,Las Palmas,928-861024 y 928-851956,928-851956,35008007@gobiernodecanarias.org,http://www.cepafuerteventuranorte.es,Público,Docente,Público,,,,35008007 - CEPA FUERTEVENTURA NORTE,,,
35610123,UAPA,UAPA RAÍZ DEL PUEBLO,C/ FRANCISCO FUENTES Nº11,,35640,LA OLIVA,FUERTEVENTURA,Las Palmas,928-861024 y 928-851956,928-851956,35008007@gobiernodecanarias.org,http://www.cepafuerteventuranorte.es,Público,Docente,Público,-13.92570138,28.61106368,,35008007 - CEPA FUERTEVENTURA NORTE,,,
35610124,UAPA,UAPA CORRALEJO CASCO,C/ BAJO AMARILLO Nº3,,35660,LA OLIVA,FUERTEVENTURA,Las Palmas,928-861024 y 928-851956,928-851956,35008007@gobiernodecanarias.org,http://www.cepafuerteventuranorte.es,Público,Docente,Público,-13.86884053,28.74089003,,35008007 - CEPA FUERTEVENTURA NORTE,,,
35610200,UAPA,UAPA GRAN TARAJAL,"C/ DON LUIS EL MAESTRO, S/N (CENTRO DE MAYORES DE GRAN TARAJAL)",,35620,TUINEJE,FUERTEVENTURA,Las Palmas,928-162384,928-162482,35010181@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepafuerteventurasur/,Público,Docente,Público,,,,35010181 - CEPA FUERTEVENTURA SUR,,,
35610201,UAPA,UAPA MORROJABLE-JANDÍA (IES),"C/ QUEVEDO, 119",,35625,PÁJARA,FUERTEVENTURA,Las Palmas,928-162384,928-162482,35010181@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepafuerteventurasur/,Público,Docente,Público,-14.35795974,28.06461317,,35010181 - CEPA FUERTEVENTURA SUR,,,
35610206,UAPA,UAPA TARAJALEJO,"C/ CABRERA MARTÍN, S/N (CEIP TARAJALEJO)",,35620,TUINEJE,FUERTEVENTURA,Las Palmas,928-162384,928-162482,35010181@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepafuerteventurasur/,Público,Docente,Público,,,,35010181 - CEPA FUERTEVENTURA SUR,,,
35610207,UAPA,UAPA LA LAJITA,"C/ LOS BIRONES, 6",,35625,PÁJARA,FUERTEVENTURA,Las Palmas,928-162384,928-162482,35010181@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepafuerteventurasur/,Público,Docente,Público,-14.15087147,28.18518295,,35010181 - CEPA FUERTEVENTURA SUR,,,
35610208,UAPA,UAPA COSTA CALMA,"C/ HAPAG LLOYD, 4",,35627,PÁJARA,FUERTEVENTURA,Las Palmas,928-162384,928-162482,35010181@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepafuerteventurasur/,Público,Docente,Público,-14.22760168,28.16585844,,35010181 - CEPA FUERTEVENTURA SUR,,,
35610211,UAPA,UAPA PÁJARA (CEIP),"C/ PICO DE LA PILA, 30",,35628,PÁJARA,FUERTEVENTURA,Las Palmas,928-162384,928-162482,35010181@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepafuerteventurasur/,Público,Docente,Público,-14.10755746,28.35298754,,35010181 - CEPA FUERTEVENTURA SUR,,,
35610212,UAPA,UAPA TUINEJE (CENTRO CULTURAL),C/ EUSTAQUIO GOPAR Nº 15,,35629,TUINEJE,FUERTEVENTURA,Las Palmas,928-162384,928-162482,35010181@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepafuerteventurasur/,Público,Docente,Público,-14.04726150,28.32475825,,35010181 - CEPA FUERTEVENTURA SUR,,,
35620103,UAPA,UAPA HARÍA,C/ ERA DE LOS LLANOS S/N,,35520,HARÍA,LANZAROTE,Las Palmas,928-800019 y 928-811400,928-811400,35007969@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepatiterroygatra,Público,Docente,Público,-13.49294138,29.15989817,,35007969 - CEPA TITERROYGATRA,,,
35620104,UAPA,UAPA SAN BARTOLOMÉ,C/ DOLORES FERRER,,35550,SAN BARTOLOMÉ,LANZAROTE,Las Palmas,928-800019 y 928-811400,928-811400,35007969@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepatiterroygatra,Público,Docente,Público,-13.61275956,28.99977390,,35007969 - CEPA TITERROYGATRA,,,
35620105,UAPA,UAPA TÍAS (IES),"RAMBLA DE LAS ISLAS CANARIAS, 39",,35510,TÍAS,LANZAROTE,Las Palmas,928-800019 y 928-811400,928-811400,35007969@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepatiterroygatra,Público,Docente,Público,-13.66473302,28.92879039,,35007969 - CEPA TITERROYGATRA,,,
35620108,UAPA,UAPA YAIZA,"C/ MONTAÑA ALMURCIA, 1",,35570,YAIZA,LANZAROTE,Las Palmas,928-800019 y 928-811400,928-811400,35007969@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepatiterroygatra,Público,Docente,Público,-13.77619771,28.95405160,,35007969 - CEPA TITERROYGATRA,,,
35620111,UAPA,UAPA PLAYA BLANCA,C/ EL MARÍSCO Nº 1,,35580,YAIZA,LANZAROTE,Las Palmas,928-800019 y 928-811400,928-811400,35007969@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepatiterroygatra,Público,Docente,Público,-13.82931174,28.86357939,,35007969 - CEPA TITERROYGATRA,,,
35630100,UAPA,UAPA CAÑADA HONDA,"C/ TAZIRGA, S/N",,35460,GÁLDAR,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.64795643,28.14957726,,35008974 - CEPA GÁLDAR,,,
35630101,UAPA,UAPA SAN ISIDRO,C/ PLAZA SAN ISIDRO Nº2,,35460,GÁLDAR,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.66064038,28.13260958,,35008974 - CEPA GÁLDAR,,,
35630102,UAPA,UAPA LOS QUINTANA,"C/ SILVA LINARES, S/N",,35468,GÁLDAR,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.66868507,28.11677629,,35008974 - CEPA GÁLDAR,,,
35630103,UAPA,UAPA BARRIAL,"AVDA. LA CONSTITUCIÓN , 2",,35469,GÁLDAR,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.66450609,28.14204497,,35008974 - CEPA GÁLDAR,,,
35630104,UAPA,UAPA MARMOLEJOS,C/ MARMOLEJOS Nº137,,35468,GÁLDAR,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.65708611,28.12960623,,35008974 - CEPA GÁLDAR,,,
35630105,UAPA,UAPA SARDINA,"C/ JIMÉNEZ DÍAZ, 1",,35469,GÁLDAR,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.69081855,28.15457962,,35008974 - CEPA GÁLDAR,,,
35630106,UAPA,UAPA PISO FIRME,"CTRA. GENERAL AGAETE, KM. 33",,35488,GÁLDAR,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.68353514,28.11155291,,35008974 - CEPA GÁLDAR,,,
35630107,UAPA,UAPA ANZO,"PZA. DE SANTA RITA, S/N",,35460,GÁLDAR,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.64127295,28.12989803,,35008974 - CEPA GÁLDAR,,,
35630108,UAPA,UAPA AGAETE,"C/ JUAN DE ARMAS, Nº2",,35480,AGAETE,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.69871204,28.09930536,,35008974 - CEPA GÁLDAR,,,
35630109,UAPA,UAPA LA ATALAYA,"PLAZA SAN PEDRO, S/N",,35450,SANTA MARÍA DE GUÍA DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.63113045,28.15205771,,35008974 - CEPA GÁLDAR,,,
35630110,UAPA,UAPA BECERRIL,"PLAZA DE SAN PABLO, 2",,35450,SANTA MARÍA DE GUÍA DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.63764869,28.14656894,,35008974 - CEPA GÁLDAR,,,
35630111,UAPA,UAPA LA DEHESA,"C/ GUÍA DE ISORA, S/N",,35458,SANTA MARÍA DE GUÍA DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.61538722,28.12510323,,35008974 - CEPA GÁLDAR,,,
35630112,UAPA,UAPA CAIDEROS,"C/ ALCALDE ROSAS, 13",,35468,GÁLDAR,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.62324386,28.1287233,,35008974 - CEPA GÁLDAR,,,
35630114,UAPA,UAPA EL PAGADOR,"C\ EL ROQUE, Nº 4",,35413,MOYA,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.57028847,28.14343893,,35008974 - CEPA GÁLDAR,,,
35630115,UAPA,UAPA MOYA,C/ CERVANTES Nº22,,35420,MOYA,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.58286024,28.11233876,,35008974 - CEPA GÁLDAR,,,
35630116,UAPA,UAPA LA ENCONADA,"C/ JUAN RODRÍGUEZ RAMÍREZ, 15",,35460,GÁLDAR,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.66351710,28.12984056,,35008974 - CEPA GÁLDAR,,,
35630117,UAPA,UAPA LA PUNTA,"C/ PUNTA DE GÁLDAR, 86 (ASOCIACIÓN DE VECINOS AMIGOS DEL CHARCÓN)",,35469,GÁLDAR,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.68373721,28.16893220,,35008974 - CEPA GÁLDAR,,,
35630118,UAPA,UAPA SAN ROQUE,C/ SOR LORENA DÍAZ BOLAÑOS S/N,,35450,SANTA MARÍA DE GUÍA DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.62963746,28.13708044,,35008974 - CEPA GÁLDAR,,,
35630121,UAPA,UAPA PALMA DE ROJAS,C/ DOCTOR PASTEUR Nº9,,35460,GÁLDAR,GRAN CANARIA,Las Palmas,928-577819,,35008974@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepagaldar,Público,Docente,Público,-15.64227806,28.14668037,,35008974 - CEPA GÁLDAR,,,
35630200,UAPA,UAPA ARUCAS (TERCERA EDAD),"AVDA. DEL MIRÓN,18 (CENTRO DE PENSIONISTAS)",,35400,ARUCAS,GRAN CANARIA,Las Palmas,928-304382,,35009619@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepaarucasyfirgasfernandomarreropulido/,Público,Docente,Público,-15.52496513,28.11724001,,35009619 - CEPA ARUCAS Y FIRGAS FERNANDO MARRERO PULIDO,,,
35630209,UAPA,UAPA CARDONES,"PLAZA DE SAN ISIDRO, 45",,35415,ARUCAS,GRAN CANARIA,Las Palmas,928-304382,,35009619@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepaarucasyfirgasfernandomarreropulido/,Público,Docente,Público,-15.50973782,28.13246823,,35009619 - CEPA ARUCAS Y FIRGAS FERNANDO MARRERO PULIDO,,,
35630302,UAPA,UAPA EL RINCÓN (IES),"AVDA. DEL INDUSTRIAL JOSÉ SÁNCHEZ PEÑATE, S/N (IES EL RINCÓN)",,35010,LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-599263,,35007982@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepalaspalmas/,Público,Docente,Público,-15.44650746,28.12759367,,35007982 - CEPA LAS PALMAS,,,
35630303,UAPA,UAPA LA ISLETA (IES),"C/ JUAN REJÓN, 58 (IES LA ISLETA)",,35009,LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-599263,,35007982@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepalaspalmas/,Público,Docente,Público,-15.42289442,28.14962177,,35007982 - CEPA LAS PALMAS,,,
35630304,UAPA,UAPA LAS PALMAS,"CENTRO MAYORES LA ISLETA PLAZA CASTILLO DE LA LUZ, 58",,35009,LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-599263,,35007982@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepalaspalmas/,Público,Docente,Público,-15.42402131,28.14892956,,35007982 - CEPA LAS PALMAS,,,
35630311,UAPA,UAPA LAS COLORADAS,CTRA. GRAL. LAS COLORADAS. LOCAL SOCIAL JOSÉ VICENTE LEÓN,,35009,LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-599263,,35007982@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepalaspalmas/,Público,Docente,Público,-15.43485800,28.16469286,,35007982 - CEPA LAS PALMAS,,,
35630313,UAPA,UAPA LOMO APOLINARIO,"C/ LOMO APOLINARIO, 92. LOCAL SOCIAL LOMO APOLINARIO",,35014,LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-599263,,35007982@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepalaspalmas/,Público,Docente,Público,-15.43925241,28.09454791,,35007982 - CEPA LAS PALMAS,,,
35630314,UAPA,UAPA SAN NICOLÁS,C/ GUADIANA S/N ESQUINA S. NICOLÁS DE BARI,,35002,LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-599263,,35007982@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepalaspalmas/,Público,Docente,Público,-15.42017240,28.10200421,,35007982 - CEPA LAS PALMAS,,,
35630405,UAPA,UAPA CRUZ DE PIEDRA,"C/ JOAQUÍN BELÓN, 19",,35001,LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-899706,,35009632@gobiernodecanarias.org,http://www.cepaciudadalta.es,Público,Docente,Público,-15.43652177,28.10364589,,35009632 - CEPA LAS PALMAS-CIUDAD ALTA,,,
35630407,UAPA,UAPA ALCALDE RAMÍREZ BETHENCOURT (CEIP),"C/ RAFAEL GARCÍA PÉREZ, S/N",,35014,LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-899706,,35009632@gobiernodecanarias.org,http://www.cepaciudadalta.es,Público,Docente,Público,-15.42910510,28.10416742,,35009632 - CEPA LAS PALMAS-CIUDAD ALTA,,,
35630500,UAPA,UAPA EL BATÁN,"C/ ALEXIS CARREL, 45",,35015,LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-499564,928-332440,35009644@gobiernodecanarias.org,http://www.cepaconosur.org,Público,Docente,Público,-15.43160878,28.09232105,,35009644 - CEPA LAS PALMAS-CONO SUR,,,
35630501,UAPA,UAPA LOMO BLANCO,"C/ HERACLIO SÁNCHEZ, S/N",,35015,LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-499564,928-332440,35009644@gobiernodecanarias.org,http://www.cepaconosur.org,Público,Docente,Público,-15.44487318,28.08381098,,35009644 - CEPA LAS PALMAS-CONO SUR,,,
35630703,UAPA,UAPA TEROR (IES),"C/ JOSÉ MIRANDA GUERRA, 3",,35330,TEROR,GRAN CANARIA,Las Palmas,928-613498,928-613498,35009693@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepateror/,Público,Docente,Público,-15.54453447,28.05925994,,35009693 - CEPA TEROR,,,
35630704,UAPA,UAPA LO BLANCO,"C/ LA ERMITA, 3 (ASOCIACIÓN DE VECINOS)",,35338,TEROR,GRAN CANARIA,Las Palmas,928-613498,928-613498,35009693@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepateror/,Público,Docente,Público,-15.51018551,28.07699213,,35009693 - CEPA TEROR,,,
35630708,UAPA,UAPA LA CASCADA,"CALLE LA DIPUTACIÓN, 9",,35330,TEROR,GRAN CANARIA,Las Palmas,928-613498,928-613498,35009693@gobiernodecanarias.org,http://www3.gobiernodecanarias.org/medusa/edublog/cepateror/,Público,Docente,Público,-15.54831682,28.06001011,,35009693 - CEPA TEROR,,,
35630800,UAPA,UAPA LA ANGOSTURA,"CTRA. GENERAL DE LA ANGOSTURA, S/N (ASOCIACIÓN DE VECINOS)",,35309,SANTA BRÍGIDA,GRAN CANARIA,Las Palmas,928-478837,,35009668@gobiernodecanarias.org,https://www3.gobiernodecanarias.org/medusa/edublog/cepasantabrigida/,Público,Docente,Público,-15.48774032,28.04863019,,35009668 - CEPA SANTA BRÍGIDA,,,
35630801,UAPA,UAPA LA ATALAYA,"C/ CURA NAVARRO, 52",,35307,SANTA BRÍGIDA,GRAN CANARIA,Las Palmas,928-478837,,35009668@gobiernodecanarias.org,https://www3.gobiernodecanarias.org/medusa/edublog/cepasantabrigida/,Público,Docente,Público,-15.47819855,28.02770718,,35009668 - CEPA SANTA BRÍGIDA,,,
35630804,UAPA,UAPA SAN MATEO,"C/ DEL AGUA S/N, EDIF. DE SERVICIOS SOCIALES",,35320,VEGA DE SAN MATEO,GRAN CANARIA,Las Palmas,928-478837,,35009668@gobiernodecanarias.org,https://www3.gobiernodecanarias.org/medusa/edublog/cepasantabrigida/,Público,Docente,Público,-15.53331074,28.00791277,,35009668 - CEPA SANTA BRÍGIDA,,,
35630805,UAPA,UAPA UTIACA,"LUGAR UTIACA Nº64, ASOCIACIÓN DE VECINOS SANTA MÓNICA",,35328,VEGA DE SAN MATEO,GRAN CANARIA,Las Palmas,928-478837,,35009668@gobiernodecanarias.org,https://www3.gobiernodecanarias.org/medusa/edublog/cepasantabrigida/,Público,Docente,Público,-15.55230043,28.01994240,,35009668 - CEPA SANTA BRÍGIDA,,,
35630806,UAPA,UAPA LAS LAGUNETAS,"PZA. LAS LAGUNETAS, S/N",,35328,VEGA DE SAN MATEO,GRAN CANARIA,Las Palmas,928-478837,,35009668@gobiernodecanarias.org,https://www3.gobiernodecanarias.org/medusa/edublog/cepasantabrigida/,Público,Docente,Público,-15.57608358,28.00481263,,35009668 - CEPA SANTA BRÍGIDA,,,
35630809,UAPA,UAPA LA LECHUZA (CEIP),"CARRETERA LA LECHUZA, Nº5",,35329,VEGA DE SAN MATEO,GRAN CANARIA,Las Palmas,928-478837,,35009668@gobiernodecanarias.org,https://www3.gobiernodecanarias.org/medusa/edublog/cepasantabrigida/,Público,Docente,Público,-15.55443948,28.00426232,,35009668 - CEPA SANTA BRÍGIDA,,,
35630810,UAPA,UAPA PINO SANTO ALTO (CEIP),"C/ PINO SANTO ALTO, Nº2",,35309,SANTA BRÍGIDA,GRAN CANARIA,Las Palmas,928-478837,,35009668@gobiernodecanarias.org,https://www3.gobiernodecanarias.org/medusa/edublog/cepasantabrigida/,Público,Docente,Público,-15.52625050,28.03378763,,35009668 - CEPA SANTA BRÍGIDA,,,
35630811,UAPA,UAPA SANTA BRÍGIDA (IES),"CAMINO DE LOS OLIVOS, 41",,35309,SANTA BRÍGIDA,GRAN CANARIA,Las Palmas,928-478837,,35009668@gobiernodecanarias.org,https://www3.gobiernodecanarias.org/medusa/edublog/cepasantabrigida/,Público,Docente,Público,-15.49192800,28.03957460,,35009668 - CEPA SANTA BRÍGIDA,,,
35630901,UAPA,UAPA TENTENIGUADA,"C/ SAN JUAN, 26",,35217,VALSEQUILLO DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-303074 y 928-303075,,35009681@gobiernodecanarias.org,http://www.cepateldelaherradura.es,Público,Docente,Público,-15.52146835,27.98716414,,35009681 - CEPA TELDE-LA HERRADURA,,,
35631100,UAPA,UAPA LA PARDILLA,"C/ RAIMUNDO LULIO, 54",,35213,TELDE,GRAN CANARIA,Las Palmas,928-303074 y 928-303075,,35009681@gobiernodecanarias.org,http://www.cepateldelaherradura.es,Público,Docente,Público,-15.39374773,28.01354077,,35009681 - CEPA TELDE-LA HERRADURA,,,
35631105,UAPA,UAPA UAPA NEAE +21,"C/ MESONERO ROAMNO, 16",,35213,TELDE,GRAN CANARIA,Las Palmas,928-303074 y 928-303075,,35009681@gobiernodecanarias.org,http://www.cepateldelaherradura.es,Público,Docente,Público,,,,35009681 - CEPA TELDE-LA HERRADURA,,,
35631107,UAPA,UAPA CASAS NUEVAS,C/ DAIMLER S/N,,35214,TELDE,GRAN CANARIA,Las Palmas,928-303074 y 928-303075,,35009681@gobiernodecanarias.org,http://www.cepateldelaherradura.es,Público,Docente,Público,-15.38994530,27.99318387,,35009681 - CEPA TELDE-LA HERRADURA,,,
35631111,UAPA,UAPA VALSEQUILLO,"CALLE MAESTRO JOSÉ SANTANA, 4",,35217,VALSEQUILLO DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-303074 y 928-303075,,35009681@gobiernodecanarias.org,http://www.cepateldelaherradura.es,Público,Docente,Público,-15.49712926,27.99458078,,35009681 - CEPA TELDE-LA HERRADURA,,,318
35631212,UAPA,UAPA MARZAGÁN,"C/ PLAZA DEL CAMBULLONERO, 1.",,35229,LAS PALMAS DE GRAN CANARIA,GRAN CANARIA,Las Palmas,928-796151,,35009671@gobiernodecanarias.org,http://www.gobiernodecanarias.org/medusa/edublog/cepateldejinamar,Público,Docente,Público,-15.42841670,28.04183850,,35009671 - CEPA TELDE-JINÁMAR,,,
