idCentro,Codigo,Denominacion,DesEtapaCentro,DescripcionEtapaCentro,Direccion,Localidad,CodigoPostal,Municipio,Isla,Provincia,Telefono,Fax,CorreoElectronico,SegundoCorreoElectronico,PaginaWeb,Naturaleza,TipoCentro,Titular,CentroCER,PreferenteAuditivoMotorico,ColectivoEscuelasRurales,CentroProfesores,URLWebCEP,CentroDestino,EOEP,CentroCepaAlQuePertenece,CentroAdscritoEOI,FotoCentro,DescargarMapaCentroGoogleEarth,VerMapaCentroGoogleMaps,Longitud,Latitud,DescargarZonasInfluenciaCentroGoogleEarth,Concierto,CentroProfesoresCodigo,CentroProfesoresNombre,ZonaInspeccionCodigo,ZonaInspeccionNombre,FuenteCEP,FuenteZonaInspeccion
15,35000173,CEO ANTIGUA,CEO,Centro de Educación Obligatoria,"CTRA. TRIQUIVIJATE, 18",ANTIGUA,35630,ANTIGUA,FUERTEVENTURA,Las Palmas,928-304533,,35000173@gobiernodecanarias.org,,http://www3.gobiernodecanarias.org/medusa/edublog/ceoantigua,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,,,,,,35702376 - E.O.E.P. FUERTEVENTURA NORTE,,,"http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483177,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483176,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483175,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483174,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483173",https://intranet.educacion.org/educacion/centros/dircenweb/docsup/15.kmz,"https://maps.google.com/maps?q=28.4195443051478,-14.0107143119585+(CEO+ANTIGUA)&iwloc=A&hl=es&z=18",-14.0107143119585,28.4195443051478,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000173.geojson,Público,,,104,,,Datos Abiertos de Canarias
16,35000185,CEIP VALLES DE ORTEGA,CEIP,Colegio de Educación Infantil y Primaria,VALLES DE ORTEGA,VALLES DE ORTEGA,35638,ANTIGUA,FUERTEVENTURA,Las Palmas,928-303136,,35000185@gobiernodecanarias.org,,,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",35704601,,CER PUERTO DEL ROSARIO - ANTIGUA - BETANCURIA,,,35000173 CEO ANTIGUA,35702376 - E.O.E.P. FUERTEVENTURA NORTE,,,,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/16.kmz,"https://maps.google.com/maps?q=28.388362,-14.01274+(CEIP+VALLES+DE+ORTEGA)&iwloc=A&hl=es&z=18",-14.01274,28.388362,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000185.geojson,Público,,,104,,,Datos Abiertos de Canarias
17,35000197,CEIP LA DESTILA,CEIP,Colegio de Educación Infantil y Primaria,C/ LA INÉS,ARRECIFE,35500,ARRECIFE,LANZAROTE,Las Palmas,928-211640 y 928-211641,,35000197@gobiernodecanarias.org,,http://www3.gobiernodecanarias.org/medusa/edublog/ceipladestila,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,,,,,35010373 IES LAS MARETAS,35702664 - E.O.E.P. LANZAROTE NORTE,,,"http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483172,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483171,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483170",https://intranet.educacion.org/educacion/centros/dircenweb/docsup/17.kmz,"https://maps.google.com/maps?q=28.9599962623455,-13.5551152201148+(CEIP+LA+DESTILA)&iwloc=A&hl=es&z=18",-13.5551152201148,28.9599962623455,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000197.geojson,Público,,,203,,,Datos Abiertos de Canarias
18,35000215,CEIP TITERROY,CEIP,Colegio de Educación Infantil y Primaria,"C/ TILAMA, 1",ARRECIFE,35500,ARRECIFE,LANZAROTE,Las Palmas,928-455983,,35000215@gobiernodecanarias.org,,http://ceiptiterroy.blogspot.com.es,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,,,,,35010373 IES LAS MARETAS,35702664 - E.O.E.P. LANZAROTE NORTE,,,,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/18.kmz,"https://maps.google.com/maps?q=28.970379722472,-13.5570403985813+(CEIP+TITERROY)&iwloc=A&hl=es&z=18",-13.5570403985813,28.970379722472,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000215.geojson,Público,,,203,,,Datos Abiertos de Canarias
19,35000227,CEIP BENITO MÉNDEZ TARAJANO,CEIP,Colegio de Educación Infantil y Primaria,"C/ SEVERO OCHOA, 29",ARRECIFE,35500,ARRECIFE,LANZAROTE,Las Palmas,928-499541,,35000227@gobiernodecanarias.org,,,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,Auditivo,,,,35000288 IES BLAS CABRERA FELIPE,35702664 - E.O.E.P. LANZAROTE NORTE,,,,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/19.kmz,"https://maps.google.com/maps?q=28.968129366613,-13.5574392066263+(CEIP+BENITO+MÉNDEZ+TARAJANO)&iwloc=A&hl=es&z=18",-13.5574392066263,28.968129366613,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000227.geojson,Público,,,203,,,Datos Abiertos de Canarias
20,35000239,CEIP ADOLFO TOPHAM,CEIP,Colegio de Educación Infantil y Primaria,"C/ DOCTOR GÓMEZ ULLA, 71",ARRECIFE,35500,ARRECIFE,LANZAROTE,Las Palmas,928-306888,,35000239@gobiernodecanarias.org,,http://www.gobiernodecanarias.org/medusa/edublog/ceipadolfotopham,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,,,,,35000288 IES BLAS CABRERA FELIPE,35702664 - E.O.E.P. LANZAROTE NORTE,,,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483169,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/20.kmz,"https://maps.google.com/maps?q=28.9662972840208,-13.5488609412929+(CEIP+ADOLFO+TOPHAM)&iwloc=A&hl=es&z=18",-13.5488609412929,28.9662972840208,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000239.geojson,Público,,,203,,,Datos Abiertos de Canarias
21,35000240,IFPMP ARRECIFE,IFPMP,Instituto de Formación Profesional Marítimo Pesquera,"AVDA. DE NAOS, 2",ARRECIFE,35500,ARRECIFE,LANZAROTE,Las Palmas,928-117877,928-117878,35000240@gobiernodecanarias.org,rmaritimopesquero@gmail.com,http://www.gobiernodecanarias.org/agp/formacion/temas/centros/ifmp-lanzarote,Público,Docente,Otras Consejerías,,,,,,,,,,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483168,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/21.kmz,"https://maps.google.com/maps?q=28.9636393784636,-13.5414399742807+(IFPMP+ARRECIFE)&iwloc=A&hl=es&z=18",-13.5414399742807,28.9636393784636,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000240.geojson,Público,,,202,,,Datos Abiertos de Canarias
22,35000264,CPEIPS SANTA MARÍA DE LOS VOLCANES,CPEIPS,"Centro Privado de Educación Infantil, Primaria y Secundaria","C/ NICARAGUA, 1",ARRECIFE,35500,ARRECIFE,LANZAROTE,Las Palmas,928-810898,928-815255,secretaria@santamariadelosvolcanes.org,smvolcanes@planalfa.es,http://www.santamariadelosvolcanes.org,Privado,Docente,Titularidad Privada,,,,,,,35702664 - E.O.E.P. LANZAROTE NORTE,,,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483167,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/22.kmz,"https://maps.google.com/maps?q=28.9626937413816,-13.5518353417558+(CPEIPS+SANTA+MARÍA+DE+LOS+VOLCANES)&iwloc=A&hl=es&z=18",-13.5518353417558,28.9626937413816,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000264.geojson,Con niveles concertados,,,203,,,Datos Abiertos de Canarias
24,35000288,IES BLAS CABRERA FELIPE,IES,Instituto de Educación Secundaria,"C/ ALCALDE GINÉS DE LA HOZ, 57",ARRECIFE,35500,ARRECIFE,LANZAROTE,Las Palmas,928-479636,,35000288@gobiernodecanarias.org,,https://www3.gobiernodecanarias.org/medusa/edublog/iesblascabrerafelipe/,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,,,,,,35702664 - E.O.E.P. LANZAROTE NORTE,,,"http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483166,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483165,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483164,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483163,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483162,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483161,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483160,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147482193,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147482192,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147482191,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147482190,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147482189,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147482188,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147482181,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147482180,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147482179",https://intranet.educacion.org/educacion/centros/dircenweb/docsup/24.kmz,"https://maps.google.com/maps?q=28.9672813905784,-13.5563582361333+(IES+BLAS+CABRERA+FELIPE)&iwloc=A&hl=es&z=18",-13.5563582361333,28.9672813905784,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000288.geojson,Público,,,203,,,Datos Abiertos de Canarias
25,35000306,EA PANCHO LASSO,EA,Escuela de Arte,"C/ TRAVESÍA DE ALFREDO KRAUS, 1",ARRECIFE,35500,ARRECIFE,LANZAROTE,Las Palmas,928-429829,,35000306@gobiernodecanarias.org,,http://www3.gobiernodecanarias.org/medusa/edublog/eapancholasso/,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,,,,,,35702664 - E.O.E.P. LANZAROTE NORTE,,,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147481882,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/25.kmz,"https://maps.google.com/maps?q=28.9664612061473,-13.5554102205838+(EA+PANCHO+LASSO)&iwloc=A&hl=es&z=18",-13.5554102205838,28.9664612061473,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000306.geojson,Público,,,202,,,Datos Abiertos de Canarias
27,35000331,CEIP ARTENARA,CEIP,Colegio de Educación Infantil y Primaria,"C/ LOS COFRITOS, S/N",ARTENARA,35350,ARTENARA,GRAN CANARIA,Las Palmas,928-393023,,35000331@gobiernodecanarias.org,,http://www3.gobiernodecanarias.org/medusa/edublog/ceipartenara/,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",35702011,,CER FIRGAS,,,35004713 CEO VALLESECO,35702381 - E.O.E.P. GRAN CANARIA NORTE,,,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147482488,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/27.kmz,"https://maps.google.com/maps?q=28.0210930580001,-15.6502926929999+(CEIP+ARTENARA)&iwloc=A&hl=es&z=18",-15.6502926929999,28.0210930580001,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000331.geojson,Público,,,303,,,Datos Abiertos de Canarias
30,35000367,CEIP LA GOLETA,CEIP,Colegio de Educación Infantil y Primaria,"C/ SAN FERNANDO, 13",ARUCAS,35402,ARUCAS,GRAN CANARIA,Las Palmas,928-599166,,35000367@gobiernodecanarias.org,,http://www.gobiernodecanarias.org/medusa/edublog/ceiplagoleta,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,,,,,35013842 IES ARUCAS-DOMINGO RIVERO,35702381 - E.O.E.P. GRAN CANARIA NORTE,,,,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/30.kmz,"https://maps.google.com/maps?q=28.1194457152373,-15.5349831870891+(CEIP+LA+GOLETA)&iwloc=A&hl=es&z=18",-15.5349831870891,28.1194457152373,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000367.geojson,Público,,,304,,,Datos Abiertos de Canarias
33,35000409,CPEIP SAGRADO CORAZÓN DE JESÚS,CPEIP,Centro Privado de Educación Infantil y Primaria,"C/ EL PINO, 3",ARUCAS,35400,ARUCAS,GRAN CANARIA,Las Palmas,928-601036,928-603461,sacorje@cevsagradocorazonarucasesur.es,,http://sagradocorazonarucas.es,Privado,Docente,Titularidad Privada,,,,,,,35702381 - E.O.E.P. GRAN CANARIA NORTE,,,,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/33.kmz,"https://maps.google.com/maps?q=28.1171587514674,-15.523133628144+(CPEIP+SAGRADO+CORAZÓN+DE+JESÚS)&iwloc=A&hl=es&z=18",-15.523133628144,28.1171587514674,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000409.geojson,Con niveles concertados,,,304,,,Datos Abiertos de Canarias
34,35000410,CPEIPS LA SALLE,CPEIPS,"Centro Privado de Educación Infantil, Primaria y Secundaria","C/ LA SALLE, 27",ARUCAS,35400,ARUCAS,GRAN CANARIA,Las Palmas,928-600066,928-600408,lasalle@lasallearucas.es,lasallealp@planalfa.es,http://www.lasallearucas.es,Privado,Docente,Titularidad Privada,,,,,,,35702381 - E.O.E.P. GRAN CANARIA NORTE,,,,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/34.kmz,"https://maps.google.com/maps?q=28.1203162078031,-15.5187845190936+(CPEIPS+LA+SALLE)&iwloc=A&hl=es&z=18",-15.5187845190936,28.1203162078031,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000410.geojson,Con niveles concertados,,,304,,,Datos Abiertos de Canarias
35,35000446,CEIP BAÑADEROS,CEIP,Colegio de Educación Infantil y Primaria,"C/ DOCTOR ENRIQUE NÁCHER HERNÁNDEZ, 3",BAÑADEROS,35414,ARUCAS,GRAN CANARIA,Las Palmas,928-577831,,35000446@gobiernodecanarias.org,,http://www3.gobiernodecanarias.org/medusa/edublog/ceipbanaderos,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,Motórico,,,,35010609 IES BAÑADEROS-CIPRIANO ACOSTA,35702381 - E.O.E.P. GRAN CANARIA NORTE,,,http://www.gobiernodecanarias.org/educacion/dgc/dircentrosweb/scripts/foto.asp?foto=-2147483143,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35.kmz,"https://maps.google.com/maps?q=28.1481219404938,-15.5336941723961+(CEIP+BAÑADEROS)&iwloc=A&hl=es&z=18",-15.5336941723961,28.1481219404938,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000446.geojson,Público,,,304,,,Datos Abiertos de Canarias
36,35000458,CEIP EDUARDO RIVERO RAMOS,CEIP,Colegio de Educación Infantil y Primaria,"C/ HNOS. MANRIQUE, 26",CARDONES,35415,ARUCAS,GRAN CANARIA,Las Palmas,928-303363,,35000458@gobiernodecanarias.org,,http://www.gobiernodecanarias.org/medusa/edublog/ceipeduardoriveroramos,Público,Docente,"Cons. de Educación, Form. Prof., Activ. Física y Deportes",,,,,,35009358 IES SANTIAGO SANTANA DÍAZ,35702381 - E.O.E.P. GRAN CANARIA NORTE,,,,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/36.kmz,"https://maps.google.com/maps?q=28.1343263736065,-15.510805418976+(CEIP+EDUARDO+RIVERO+RAMOS)&iwloc=A&hl=es&z=18",-15.510805418976,28.1343263736065,https://intranet.educacion.org/educacion/centros/dircenweb/docsup/35000458.geojson,Público,,,304,,,Datos Abiertos de Canarias
